1-103,Arroz con Leche,No perecedero
2-1,Atun,No perecedero
2-112,Sardina,No perecedero
2-147,Postre de Chocolate,No perecedero
2-14,Frijoles Latas,No perecedero
2-150,Kermato,No perecedero
2-20,Leche Clavel,No perecedero
2-200,Aceitunas,No perecedero
2-203,Pimiento Morron,No perecedero
2-22,Lata Variada,No perecedero
2-23,La Lechera,No perecedero
2-251,Ate,No perecedero
2-252,Mango en Almibar,No perecedero
2-44,Media Crema,No perecedero
2-480,Chilorio,No perecedero
2-608,Calamares,No perecedero
2-611,Filete de Anchoas,No perecedero
2-623,Menjillones,No perecedero
2-246,Almejitas,No perecedero
2-694,Pepinillo,No perecedero
2-74,Pure de Tomate 2.950 kg,No perecedero
2-83,Elote Dorado 400g,No perecedero
2-85,Salsa Casera,No perecedero
1-109,Vainilla,No perecedero
1-106,Piloncillo,No perecedero
1-136,Jarabe Natural,No perecedero
1-2050,Tostadas,No perecedero
1-3,Azucar,No perecedero
1-304,Comida Para Perro,No perecedero
1-48,Frutas en Almibar,No perecedero
1-5011,Chamoy,No perecedero
1-513,Almohada,No perecedero
1-531,Grenetina,No perecedero
1-534,Botana Surtida,No perecedero
1-542,Cocoa,No perecedero
1-86,Fruta Seca,No perecedero
2-10,Café,No perecedero
2-11,Dulces,No perecedero
2-122,Lonchera con Termo winnie pooh,No perecedero
2-14,Salsa Agridulce,No perecedero
2-140,Taza de Plastico decoracion pollitos,No perecedero
2-148,Malteada de Vainilla,No perecedero
2-149,El Manjar,No perecedero
2-153,Empanizador,No perecedero
2-155,Crema para Pastel en Polvo,No perecedero
2-156,Pure de Papa,No perecedero
2-16,Galletas,No perecedero
2-165,Te varios Sabores,No perecedero
2-17,Harina,No perecedero
2-172,Palomitas/Maiz,No perecedero
2-175,Cebada,No perecedero
2-176,Horchata,No perecedero
2-179,Creama de Cacahuate,No perecedero
2-18,Harina para Hot-Cakes,No perecedero
2-180,Mostaza,No perecedero
2-187,Crema de Coco,No perecedero
2-19,Jugos-(Jumex),No perecedero
2-193,Cremas de Verduras,No perecedero
2-2,Aceite,No perecedero
2-201,Levadura,No perecedero
2-205,Almendra,No perecedero
2-2102,Tomate Deshidratados,No perecedero
2-220,Pañales desechabeles,No perecedero
2-222,Pinole,No perecedero
2-224,Frituras,No perecedero
2-230,Vinagre,No perecedero
2-233,Rrefrescos,No perecedero
2-24,Maseca,No perecedero
2-25,Maizena,No perecedero
2-26,Manteca (Inca),No perecedero
2-28,Mayonesa,No perecedero
2-288,Salsa Catsup,No perecedero
2-29,Miel,No perecedero
2-292,Consome de pollo,No perecedero
2-293,Gelatina,No perecedero
2-3,Avena,No perecedero
2-30,Sopa maruchan,No perecedero
2-303,Salsa barbecue,No perecedero
2-305,Mermelada,No perecedero
2-31,Sal,No perecedero
2-33,Caldo de pollo (consome),No perecedero
2-333,Hojas de tamal,No perecedero
2-336,Triguitos (cereal),No perecedero
2-337,Jamaica,No perecedero
2-339,Salsa de soya,No perecedero
2-34,Polvo  para preparar agua,No perecedero
2-35,Leche en polvo,No perecedero
2-36,Pure-tomate,No perecedero
2-39,Mole,No perecedero
2-40,Sopa de pasta,No perecedero
2-401,Sabritas,No perecedero
2-42,Chocolate,No perecedero
2-424,Te arizona,No perecedero
2-43,Jugo V8,No perecedero
2-444,Harina de maiz,No perecedero
2-45,Crema para café,No perecedero
2-46,Salsa Huichol,No perecedero
2-48,Consomate,No perecedero
2-49,Croquetas,No perecedero
2-50,Flan,No perecedero
2-5008,Canela,No perecedero
2-5012,Harina de pastel,No perecedero
2-503,Chilaquiles verdes,No perecedero
1-113,Nuez,No perecedero
1-114,Pasas,No perecedero
1-40,Garbanzo,No perecedero
1-41,Lenteja,No perecedero
1-43,Alubias,No perecedero
1000-200-7,Chia,No perecedero
2-15,Frijol,No perecedero
2-206,Alpiste,No perecedero
2-207,Chile en Polvo,No perecedero
2-208,Semillas de Girasol,No perecedero
2-21,Lentejas,No perecedero
2-211,Pimientas,No perecedero
2-4,Arroz,No perecedero
2-519,Ajonjoli,No perecedero
2-549,Arandanos Deshidratados,No perecedero
2-665,Mezcla Cerveza ,No perecedero
2-703,Chocolate Hershey,No perecedero
2-705,Jarabe de Chocolate,No perecedero
2-908,Quinoa,No perecedero
1-2000,Trapeador,No perecedero
1-499,Articulos de Cocina,No perecedero
1-501,Articulos de Perfumeria,No perecedero
1-5010,Crema de Afeitar,No perecedero
1-5012,Alcohol,No perecedero
1-5013,Talco,No perecedero
1-5014,Aromatizante,No perecedero
1-5017,Espejo,No perecedero
1-502,Zapatos,No perecedero
1-504,Focos,No perecedero
1-505,Esponja,No perecedero
1-510,Tinte Cabello,No perecedero
1-515,Tapete,No perecedero
1-516,Mantel,No perecedero
1-517,Abrelatas,No perecedero
1-523,Escoba,No perecedero
1-524,Olla,No perecedero
1-525,Burro Planchar,No perecedero
1-527,Charola,No perecedero
1-535,Papel Aluminio,No perecedero
1-538,Rompope,No perecedero
1-539,Perfume,No perecedero
1-67,Toallas Femeninas,No perecedero
