Producto,Descripcion
1-1,Aguacate
1-10,Chile Anaheim
1-100,Chile Guajillo
1-11,Chile Caribe
1-110,Tomatillo
1-12,Chile Jalapeño
1-120,Champiñones
1-13,Chile Morron
1-14,Chile Poblano
1-15,Chile Serrano
1-18,Ejote
1-199,Germinado de Alfalfa
1-1999,Esparragos
1-2,Apio
1-200,Hongos
1-22,Lechuga
1-29,Papa
1-31,Pepino
1-35,Repollo
1-36,Tomate
1-38,Zanahoria
1-4,Brocoli
1-44,Berenjena
1-45,Betabel
1-46,Cilantro
1-49,Coliflor
1-5,Calabaza
1-50,Epasote
1-53,Espinacas
1-6,Cebolla Blanca
1-60,Perejil (Hoja)
1-62,Rabano
1-65,Nopales
1-7,Cebolla Morada
1-70,Elote
1-72,Camote
1-74,Ajo
1-75,Tamarindo
1-82,Fruta Cubierta
1-83,Cebolla Cambray
1-85,Sandia
1-9,Chayote
1-91,Alcachofas
1-96,Chile Pasilla
1-20,Manzanilla
2-077,Chile de Arbol
2-1000,Frutas y Verduras
2-210,Crema Para Sopa
2-232,Ensalada de Verduras
2-234,Acelga
2-5022,Chile Habanero
2-566,Fundas de Almohada
2-753,Jengibre
4-99,Hierba Buena
1-111,Yogurth
1-301,Pate de cerdo
2-334,Leche entera
2-400,Mantequilla
2-5018,Cafe preparado
2-904,Yakult
2-910,Nieve
2-998,Crema batida
1-129,Tamales
1-28,Pan
1-317,Tortillas de harina
1-69,Cacahuates
1-84,Tortillas
1-97,Bolis
2-539,Chile morita
2-573,Cerezas
2-548,Maiz
1-117,Pollo
1-123,Pechuga de pavo
1-125,Pizza
1-126,Jamon
1-128,Pescado
1-154,Tocino
1-20,Huevo
1-203,Peperoni
1-300,Camaron (seco)
1-42,Salchicha
1-55,Chorizo
1-77,Salami
1-94,Higado de res
2-5009,Carnes
2-5023,Pechuga de pollo
1-155,Quezo panela
1-73,Queso amarillo
1-250,Frijol cocido
2-683,Adobo
1-108,Kiwis
1-112,Tuna
1-16,Ciruela
1-17,Duranzo
1-19,Frutas deshidratadas
1-21,Jicama
1-220,Zarzamora
1-23,Limon
1-24,Mango
1-25,Manzana
1-26,Melon
1-27,Naranja
1-30,Papaya
1-32,Piña
1-33,Platano
1-37,Uva
1-47,Coco
1-54,Fresas
1-56,Guayaba
1-57,Mandarina
1-58,Nectarina
1-59,Pera
1-63,Toronja
1-64,Mamey
1-68,Datiles
1-8,Chabacano
2-1006,Caña de azucar
2-194,Higo
